Men's T20I Batting Rankings	63 (0)	Ramesh Satheesan	ROM	422	447 v Malta, 04/09/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	64	Chirag Suri	UAE	414	466 v Germany, 19/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	65	Kieron Pollard	WI	414	537 v Pakistan, 28/07/2013	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	66	Kusal Perera	SL	413	751 v South Africa, 22/03/2014	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	67	Craig Williams	NAM	412	477 v Pakistan, 02/11/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	68	Brandon King	WI	408	425 v England, 30/01/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	69	J.J. Smit	NAM	408	408 v Uganda, 10/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	70 (0)	Ravija Sandaruwan	KUW	408	465 v Bahrain, 24/10/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	71 (0)	Kevin O'Brien	IRE	408	509 v Afghanistan, 10/03/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	72 (0)	Muhammad Usman	UAE	407	490 v Canada, 27/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	73 (0)	Moeen Ali	ENG	407	414 v West Indies, 29/01/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	74 (0)	Matthew Wade	AUS	407	415 v Sri Lanka, 20/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	75	Stephan Baard	NAM	406	440 v Uganda, 08/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	76	Ishan Kishan	IND	401	416 v Sri Lanka, 24/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	77	Vriitya Aravind	UAE	400	417 v Nepal, 22/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	78	Gareth Delany	IRE	400	412 v Oman, 22/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	79	Liam Livingstone	ENG	400	546 v Pakistan, 18/07/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	80	James Vince	ENG	400	486 v New Zealand, 05/11/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	81	Azhar Andani	POR	399	399 v Malta, 22/08/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	82	Calum MacLeod	SCO	399	488 v Bermuda, 24/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
